GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
8600000US02021,02021,ZCTA5 02021,22829,32
8600000US02026,02026,ZCTA5 02026,25362,41
8600000US02108,02108,ZCTA5 02108,4211,514
8600000US02109,02109,ZCTA5 02109,4051,547
8600000US02110,02110,ZCTA5 02110,2270,419
8600000US02111,02111,ZCTA5 02111,7452,594
8600000US02113,02113,ZCTA5 02113,7464,456
8600000US02114,02114,ZCTA5 02114,13247,661
8600000US02115,02115,ZCTA5 02115,29244,1213
8600000US02116,02116,ZCTA5 02116,23215,952
8600000US02118,02118,ZCTA5 02118,27325,943
8600000US02119,02119,ZCTA5 02119,28152,1403
8600000US02120,02120,ZCTA5 02120,15719,1086
8600000US02121,02121,ZCTA5 02121,28479,1364
8600000US02122,02122,ZCTA5 02122,24643,1177
8600000US02124,02124,ZCTA5 02124,55074,1770
8600000US02125,02125,ZCTA5 02125,35254,1293
8600000US02126,02126,ZCTA5 02126,29141,1506
8600000US02127,02127,ZCTA5 02127,37257,1083
8600000US02128,02128,ZCTA5 02128,46655,1282
8600000US02129,02129,ZCTA5 02129,18901,715
8600000US02130,02130,ZCTA5 02130,39435,1148
8600000US02131,02131,ZCTA5 02131,32819,1037
8600000US02132,02132,ZCTA5 02132,28505,1117
8600000US02134,02134,ZCTA5 02134,18057,1088
8600000US02135,02135,ZCTA5 02135,42644,1377
8600000US02136,02136,ZCTA5 02136,33084,1340
8600000US02151,02151,ZCTA5 02151,53873,66
8600000US02152,02152,ZCTA5 02152,18391,42
8600000US02163,02163,ZCTA5 02163,2569,421
8600000US02186,02186,ZCTA5 02186,27527,47
8600000US02199,02199,ZCTA5 02199,1177,247
8600000US02203,02203,ZCTA5 02203,27,31
8600000US02210,02210,ZCTA5 02210,2609,295
8600000US02215,02215,ZCTA5 02215,25023,1023
8600000US02459,02459,ZCTA5 02459,19473,757
8600000US02467,02467,ZCTA5 02467,22105,892
