GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
8600000US02021,02021,ZCTA5 02021,9026,253,2988,164,2988,164,2332,180,656,177,65,43,591,182,0,23,0,23,0,23,6038,330,2929,276,2478,248,451,132,92,60,359,121,3109,353,1385,289,1724,312
8600000US02026,02026,ZCTA5 02026,9865,310,2699,165,2691,164,2067,166,624,156,225,94,399,133,8,12,8,12,0,23,7166,371,3496,257,2841,249,655,143,132,79,523,127,3670,318,1314,252,2356,270
8600000US02108,02108,ZCTA5 02108,1888,191,319,135,319,135,319,135,0,12,0,12,0,12,0,12,0,12,0,12,1569,227,469,128,437,125,32,36,0,12,32,36,1100,211,417,173,683,179
8600000US02109,02109,ZCTA5 02109,1943,187,159,76,159,76,145,73,14,23,14,23,0,12,0,12,0,12,0,12,1784,174,454,102,404,107,50,40,40,35,10,18,1330,183,635,164,695,126
8600000US02110,02110,ZCTA5 02110,1347,204,92,73,92,73,92,73,0,12,0,12,0,12,0,12,0,12,0,12,1255,194,358,102,337,99,21,25,0,12,21,25,897,203,540,187,357,118
8600000US02111,02111,ZCTA5 02111,3202,279,409,89,409,89,335,76,74,50,6,10,68,50,0,17,0,17,0,17,2793,299,958,221,737,192,221,126,84,76,137,95,1835,274,844,189,991,245
8600000US02113,02113,ZCTA5 02113,4370,183,189,57,176,52,119,40,57,39,32,38,25,19,13,24,13,24,0,17,4181,193,721,145,512,117,209,98,26,19,183,95,3460,218,1801,173,1659,185
8600000US02114,02114,ZCTA5 02114,7196,321,608,151,608,151,455,153,153,88,20,25,133,83,0,19,0,19,0,19,6588,357,1288,198,1115,194,173,68,93,46,80,51,5300,398,2411,368,2889,306
8600000US02115,02115,ZCTA5 02115,9258,305,871,139,867,140,434,117,433,118,35,18,398,116,4,6,4,6,0,23,8387,293,1524,222,1146,191,378,120,96,55,282,113,6863,328,3340,254,3523,308
8600000US02116,02116,ZCTA5 02116,11987,437,980,169,969,169,713,156,256,107,62,52,194,92,11,16,0,23,11,16,11007,443,3501,299,3073,284,428,141,90,55,338,120,7506,465,3494,337,4012,418
8600000US02118,02118,ZCTA5 02118,12514,367,2242,282,2198,280,1080,183,1118,208,125,87,993,190,44,39,33,36,11,18,10272,433,2866,309,2169,249,697,187,314,149,383,135,7406,489,3645,379,3761,372
8600000US02119,02119,ZCTA5 02119,11261,314,3377,347,3373,346,986,240,2387,318,318,113,2069,289,4,8,0,23,4,8,7884,377,2760,290,1281,212,1479,258,445,155,1034,200,5124,419,2528,292,2596,322
8600000US02120,02120,ZCTA5 02120,4991,224,1102,204,1102,204,405,128,697,162,34,36,663,158,0,19,0,19,0,19,3889,221,1142,165,468,108,674,158,127,66,547,134,2747,205,1300,175,1447,194
8600000US02121,02121,ZCTA5 02121,10471,331,4105,354,4026,364,809,183,3217,316,499,155,2718,283,79,61,13,20,66,57,6366,388,2590,320,753,167,1837,307,373,145,1464,289,3776,375,1525,252,2251,314
8600000US02122,02122,ZCTA5 02122,8384,331,2733,327,2733,327,1114,196,1619,254,288,138,1331,245,0,23,0,23,0,23,5651,370,2401,305,1310,223,1091,233,379,126,712,202,3250,295,1692,291,1558,240
8600000US02124,02124,ZCTA5 02124,19130,458,6630,528,6597,524,2380,342,4217,415,517,164,3700,385,33,39,10,15,23,35,12500,533,5661,515,2769,389,2892,390,742,206,2150,359,6839,551,3282,410,3557,387
8600000US02125,02125,ZCTA5 02125,12586,293,3649,331,3563,329,1658,197,1905,309,199,84,1706,290,86,71,86,71,0,26,8937,390,3169,253,1801,229,1368,229,278,99,1090,186,5768,418,3006,334,2762,314
8600000US02126,02126,ZCTA5 02126,10027,345,3735,355,3675,359,1232,249,2443,347,327,180,2116,318,60,63,0,23,60,63,6292,392,3315,347,1505,277,1810,293,485,170,1325,254,2977,351,1352,271,1625,257
8600000US02127,02127,ZCTA5 02127,17056,356,2817,255,2817,255,1301,200,1516,197,101,47,1415,196,0,26,0,26,0,26,14239,423,4013,331,2696,311,1317,231,368,130,949,220,10226,467,5169,397,5057,412
8600000US02128,02128,ZCTA5 02128,16286,314,5323,359,5296,356,2424,258,2872,319,1115,234,1757,250,27,29,27,29,0,26,10963,371,4338,311,2450,248,1888,291,732,178,1156,239,6625,404,3644,320,2981,312
8600000US02129,02129,ZCTA5 02129,8931,233,2045,171,2037,169,1197,165,840,157,185,92,655,155,8,13,8,13,0,19,6886,277,2114,229,1707,232,407,95,89,49,318,87,4772,310,1866,221,2906,289
