GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC04_EST_VC29,HC04_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC04_EST_VC30,HC04_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC04_EST_VC36,HC04_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC04_EST_VC37,HC04_MOE_VC37,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC04_EST_VC40,HC04_MOE_VC40,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC04_EST_VC43,HC04_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC04_EST_VC44,HC04_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC03_EST_VC45,HC03_MOE_VC45,HC04_EST_VC45,HC04_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC04_EST_VC46,HC04_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC04_EST_VC47,HC04_MOE_VC47
8600000US02021,02021,ZCTA5 02021,18198,283,70.4,2.2,66.0,2.3,6.1,1.6,976,230,35.2,12.8,28.0,12.0,20.6,16.1,936,184,87.9,8.0,74.7,9.8,15.1,7.6,1095,266,84.9,9.7,81.4,9.6,4.2,3.6,1847,409,92.4,4.6,89.7,6.3,2.9,4.3,3017,361,91.5,3.8,87.2,4.5,4.7,3.3,3525,275,89.6,3.4,86.7,4.5,3.2,2.8,1404,266,77.7,7.2,68.6,7.4,11.7,5.9,1397,235,76.2,6.3,67.5,7.9,11.5,8.6,1947,264,36.1,7.3,35.1,7.0,2.6,2.6,2054,236,10.9,4.0,10.9,4.0,0.0,14.5,15525,568,67.8,2.4,64.7,2.4,4.5,1.4,990,239,82.5,7.7,63.5,12.2,23.0,12.5,0,23,-,**,-,**,-,**,1281,329,85.2,7.4,75.8,9.8,11.0,10.7,0,23,-,**,-,**,-,**,195,168,100.0,16.4,100.0,16.4,0.0,16.4,207,119,86.0,18.2,86.0,18.2,0.0,17.8,612,191,89.7,7.2,82.4,9.8,8.2,9.6,15031,558,67.1,2.3,64.2,2.4,4.3,1.4,13221,328,87.2,2.1,82.0,2.3,6.0,1.7,6230,313,93.9,2.2,87.3,3.1,7.0,2.9,6991,275,81.3,3.1,77.3,3.3,5.0,2.2,2991,181,80.3,5.1,75.7,5.9,5.7,4.0,752,177,81.8,9.2,81.0,9.2,1.0,1.5,410,131,60.0,18.0,60.0,18.0,0.0,13.2,1829,219,84.3,5.6,77.0,7.7,8.6,6.1,615,257,67.6,11.2,46.7,17.2,31.0,19.3,12551,377,88.6,1.9,84.1,2.0,5.1,1.6,1019,268,71.4,10.8,62.0,11.1,13.2,10.9,12285,365,87.2,2.0,82.5,2.3,5.3,1.6,157,101,88.5,13.8,72.0,25.5,18.7,23.8,1720,384,76.7,7.3,63.6,8.0,17.1,7.4,2906,390,83.0,5.4,76.3,5.4,8.1,3.5,7502,499,91.2,2.0,89.5,2.3,1.8,1.4
8600000US02026,02026,ZCTA5 02026,21060,216,66.4,2.1,63.0,2.1,5.0,1.3,1157,220,33.0,9.7,26.4,8.9,20.2,11.6,1407,216,76.1,6.5,70.7,7.4,7.1,4.1,1706,301,82.6,4.4,76.4,6.1,7.5,5.1,1643,236,87.8,4.8,80.6,7.5,8.2,6.8,2938,285,87.6,4.0,84.6,4.7,3.2,1.8,4079,335,87.8,3.6,85.0,3.5,3.2,1.6,1621,193,78.2,5.8,74.7,6.0,4.4,2.7,1495,210,78.7,6.1,76.9,6.5,2.3,2.5,2083,222,38.2,5.1,36.3,5.5,4.8,5.5,2931,264,9.5,3.3,9.5,3.3,0.0,11.8,17954,480,65.3,2.4,62.1,2.3,4.8,1.2,1709,361,71.5,8.7,65.7,8.8,8.2,6.3,46,40,43.5,41.3,43.5,41.3,0.0,68.8,583,200,78.6,12.7,76.5,14.2,2.6,4.1,0,23,-,**,-,**,-,**,484,250,71.3,17.6,68.8,17.1,3.5,4.6,284,137,75.4,13.2,71.5,15.3,5.1,8.0,1589,393,74.5,7.8,68.8,8.0,7.6,5.6,16855,582,64.6,2.4,61.7,2.3,4.4,1.3,14889,373,84.1,2.0,80.2,2.2,4.6,1.3,7236,354,84.0,2.4,79.1,3.0,5.8,2.0,7653,331,84.2,2.8,81.1,2.8,3.5,1.4,2539,158,85.6,4.5,83.7,4.6,2.2,1.2,799,137,77.3,9.8,74.8,10.2,3.2,3.1,388,97,79.6,9.7,77.6,9.9,2.6,3.9,1352,169,92.2,4.5,90.8,4.8,1.5,1.4,704,219,54.4,12.3,41.6,12.9,23.5,15.1,13585,423,89.3,1.7,85.7,2.1,4.0,1.3,832,247,55.8,9.7,45.0,11.6,19.4,15.4,13482,382,84.9,2.0,81.1,2.2,4.4,1.4,672,174,59.4,11.9,59.4,11.9,0.0,8.4,2686,368,75.6,5.2,71.5,5.6,5.4,3.3,2892,337,86.9,3.4,81.2,3.8,6.5,2.4,7232,497,90.0,2.2,86.7,2.7,3.5,1.7
8600000US02108,02108,ZCTA5 02108,3658,431,70.3,5.9,64.5,6.6,8.2,3.7,301,165,63.8,16.6,51.2,19.1,19.8,15.2,190,110,70.0,17.2,64.7,20.0,7.5,14.5,366,150,90.7,9.9,83.9,13.2,7.5,10.5,804,261,84.5,16.7,76.4,17.7,9.6,8.4,596,245,95.8,5.5,95.0,6.8,0.9,2.0,380,144,61.6,15.9,58.7,16.5,4.7,9.1,274,123,70.8,14.5,51.5,18.8,27.3,23.2,233,121,66.5,23.5,66.5,23.5,0.0,20.1,333,145,18.6,12.0,17.4,11.8,6.5,17.9,181,102,9.9,13.8,9.9,13.8,0.0,72.5,3139,403,70.9,6.8,65.4,7.4,7.8,4.0,223,105,71.3,26.8,59.2,23.5,17.0,13.3,22,27,45.5,54.5,45.5,54.5,0.0,97.3,182,132,69.2,20.3,69.2,20.3,0.0,23.9,0,12,-,**,-,**,-,**,34,29,26.5,60.8,26.5,60.8,0.0,100.0,58,48,67.2,41.5,50.0,49.2,25.6,54.9,176,100,68.8,19.6,68.8,19.6,0.0,24.7,2997,386,70.6,7.1,64.8,7.8,8.2,4.3,2843,355,80.8,6.0,74.9,6.9,7.4,4.0,1336,250,91.2,5.5,82.5,9.1,9.6,5.8,1507,230,71.6,10.3,68.1,10.2,4.8,4.8,320,136,82.2,17.7,82.2,17.7,0.0,12.4,180,118,90.0,18.5,90.0,18.5,0.0,19.3,49,46,69.4,46.0,69.4,46.0,0.0,52.8,91,86,73.6,41.1,73.6,41.1,0.0,37.6,338,174,40.8,22.0,25.1,18.3,38.4,23.2,2411,312,86.9,4.6,82.5,5.6,5.1,3.6,174,118,46.6,12.7,12.6,23.4,72.8,48.3,2653,364,81.6,6.2,75.6,7.3,7.3,4.1,114,136,12.3,32.0,4.4,12.3,64.3,64.3,102,77,61.8,14.0,45.1,18.9,27.0,33.4,181,100,65.7,20.9,41.4,30.8,37.0,33.4,2256,274,87.3,4.7,83.3,5.9,4.5,3.6
8600000US02109,02109,ZCTA5 02109,3790,489,76.5,5.5,71.1,6.9,5.6,5.3,43,32,41.9,42.0,0.0,46.9,-,**,255,104,78.0,14.4,56.9,23.3,15.2,27.2,1066,308,93.4,5.4,91.7,6.6,1.9,4.3,615,200,88.6,7.2,86.8,8.0,2.0,3.6,375,162,88.0,10.5,85.9,10.3,2.4,5.3,525,176,67.2,10.8,55.6,14.5,17.3,13.3,200,85,78.0,19.0,60.5,22.2,22.4,28.9,164,99,79.3,20.2,79.3,20.2,0.0,23.3,285,140,44.2,23.3,44.2,23.3,0.0,23.9,262,125,18.3,14.9,18.3,14.9,0.0,44.4,3189,392,77.1,6.3,72.0,8.0,4.8,5.7,157,204,63.7,35.3,40.8,54.1,36.0,64.0,0,12,-,**,-,**,-,**,312,162,83.0,12.2,83.0,12.2,0.0,12.6,0,12,-,**,-,**,-,**,64,86,54.7,22.8,42.2,21.5,22.9,61.7,68,53,70.6,32.3,70.6,32.3,0.0,44.4,133,76,78.2,20.1,45.9,29.6,41.3,35.7,3111,379,76.8,6.5,72.7,7.6,3.5,4.1,3200,454,84.7,3.9,78.8,5.8,6.0,5.6,1884,401,88.3,4.6,79.7,8.9,8.2,8.8,1316,220,79.4,7.3,77.4,7.8,2.5,2.5,142,73,51.4,26.9,51.4,26.9,0.0,35.8,97,65,71.1,30.7,71.1,30.7,0.0,37.0,14,17,28.6,52.4,28.6,52.4,0.0,100.0,31,31,0.0,55.3,0.0,55.3,-,**,413,216,63.0,24.0,38.0,16.6,39.6,25.2,2750,387,88.0,4.0,86.0,4.9,2.4,2.4,249,187,52.6,36.7,29.7,15.3,43.5,56.5,2945,454,85.2,3.9,80.7,5.2,5.3,4.5,120,124,67.5,54.0,22.5,17.9,66.7,3.5,200,118,59.0,26.4,45.5,31.8,22.9,29.4,312,145,83.7,13.5,83.7,13.5,0.0,12.5,2313,368,88.6,3.5,86.3,3.9,2.6,2.2
8600000US02110,02110,ZCTA5 02110,2070,337,66.2,7.1,65.5,6.9,1.0,1.6,0,12,-,**,-,**,-,**,119,144,73.1,17.3,73.1,17.3,0.0,31.9,229,105,87.8,14.6,87.8,14.6,0.0,15.9,167,108,59.9,45.2,59.9,45.2,0.0,28.8,191,120,86.4,24.2,86.4,24.2,0.0,19.0,252,149,72.6,16.1,72.6,16.1,0.0,17.3,349,160,84.5,14.9,80.5,14.3,4.7,8.2,110,88,62.7,34.0,62.7,34.0,0.0,37.0,411,121,55.2,19.8,55.2,19.8,0.0,14.3,242,91,17.8,18.1,17.8,18.1,0.0,46.9,1786,276,65.0,8.6,64.2,8.3,1.2,1.9,92,99,93.5,18.8,93.5,18.8,0.0,32.1,0,12,-,**,-,**,-,**,170,131,68.2,20.1,68.2,20.1,0.0,25.6,0,12,-,**,-,**,-,**,0,12,-,**,-,**,-,**,22,30,31.8,68.2,31.8,68.2,0.0,100.0,41,38,63.4,50.3,63.4,50.3,0.0,60.4,1760,274,64.5,8.7,63.7,8.4,1.2,2.0,1417,301,77.6,7.5,76.6,7.3,1.3,2.1,733,214,86.1,9.9,86.1,9.9,0.0,5.4,684,160,68.6,12.3,66.5,11.8,3.0,4.8,93,73,46.2,34.7,46.2,34.7,0.0,46.9,18,29,100.0,72.5,100.0,72.5,0.0,72.5,26,30,50.0,50.0,50.0,50.0,0.0,85.4,49,61,24.5,33.2,24.5,33.2,0.0,88.8,127,126,30.7,23.7,30.7,23.7,0.0,49.3,1290,287,82.2,7.1,81.2,6.9,1.3,2.1,109,65,57.8,30.5,57.8,30.5,0.0,38.8,1298,293,78.0,7.8,77.0,7.6,1.4,2.3,0,12,-,**,-,**,-,**,63,55,61.9,42.5,61.9,42.5,0.0,49.3,164,104,78.0,24.8,78.0,24.8,0.0,23.6,1071,281,79.0,8.1,77.7,7.8,1.7,2.7
8600000US02111,02111,ZCTA5 02111,6709,531,61.7,4.0,55.8,4.5,9.5,3.7,749,233,39.9,8.0,26.0,8.4,34.8,11.6,663,200,47.5,14.2,45.4,14.2,4.4,6.5,1139,280,60.3,11.5,58.0,11.9,3.8,6.4,725,261,93.1,8.7,93.1,8.7,0.0,5.0,800,250,88.0,11.8,79.3,12.1,9.9,7.5,935,239,85.1,7.9,73.5,11.1,13.7,12.8,350,134,74.0,11.9,66.3,16.3,10.4,14.1,454,182,54.6,16.4,45.4,15.8,16.9,22.7,361,145,41.0,18.5,41.0,18.5,0.0,20.9,533,128,1.3,2.2,1.3,2.2,0.0,100.0,3065,378,72.4,5.8,67.3,6.4,7.0,3.2,156,73,49.4,25.7,40.4,27.2,18.2,29.3,0,17,-,**,-,**,-,**,3227,419,52.5,6.2,46.3,6.0,11.8,7.0,0,17,-,**,-,**,-,**,72,52,72.2,39.5,51.4,46.7,28.8,57.9,189,99,51.9,27.8,48.1,27.5,7.1,14.6,395,136,62.8,19.8,55.4,19.7,11.7,12.5,2753,356,73.4,6.2,68.3,6.8,7.0,3.5,5066,511,72.7,5.3,67.0,5.8,7.8,4.0,2322,293,74.2,7.4,66.7,9.1,10.2,7.1,2744,415,71.4,8.2,67.3,8.0,5.8,4.0,420,94,83.1,12.7,83.1,12.7,0.0,9.5,147,98,63.3,32.0,63.3,32.0,0.0,30.4,133,83,100.0,22.9,100.0,22.9,0.0,22.9,140,82,87.9,18.8,87.9,18.8,0.0,24.4,1004,282,35.2,14.0,25.8,12.2,26.6,17.3,3660,427,86.1,4.4,80.8,5.1,6.2,3.7,334,147,51.8,19.0,43.7,20.3,15.6,20.3,4403,458,76.5,5.2,70.3,5.8,8.1,4.3,895,283,76.2,8.4,68.0,10.8,10.7,10.2,662,241,79.9,12.4,58.8,14.4,26.5,14.8,365,163,61.9,22.1,60.3,20.6,2.7,6.8,2481,418,77.9,7.3,75.7,7.8,2.8,2.1
8600000US02113,02113,ZCTA5 02113,7131,427,82.4,3.7,80.9,3.7,1.4,1.0,0,17,-,**,-,**,-,**,951,217,77.2,9.4,74.3,9.3,3.2,3.6,2468,334,92.3,4.4,91.4,4.4,0.4,0.6,1121,196,94.6,3.9,94.6,3.9,0.0,3.2,944,178,92.4,6.0,90.5,6.4,0.9,1.5,409,136,94.1,6.3,94.1,6.3,0.0,8.7,333,131,82.6,16.1,75.7,18.2,8.4,13.5,116,53,90.5,11.8,86.2,14.4,4.8,9.3,364,103,34.3,12.0,31.0,11.5,9.6,14.2,425,134,9.2,9.4,9.2,9.4,0.0,49.3,6728,443,82.4,3.7,80.8,3.7,1.4,1.0,52,45,76.9,22.2,76.9,22.2,0.0,48.7,0,17,-,**,-,**,-,**,149,77,71.1,25.5,71.1,25.5,0.0,27.5,0,17,-,**,-,**,-,**,117,58,88.9,14.5,88.9,14.5,0.0,27.9,85,50,90.6,14.2,90.6,14.2,0.0,34.6,482,160,69.3,19.5,69.3,19.5,0.0,9.9,6343,448,83.5,3.6,81.9,3.7,1.5,1.1,6342,410,90.0,3.5,88.5,3.5,1.2,0.9,3294,360,89.2,5.2,86.7,5.3,1.9,1.6,3048,319,90.9,3.6,90.5,3.6,0.5,0.6,143,35,81.8,14.2,81.8,14.2,0.0,25.4,61,40,68.9,32.0,68.9,32.0,0.0,47.5,12,16,41.7,58.3,41.7,58.3,0.0,100.0,70,13,100.0,36.7,100.0,36.7,0.0,36.7,608,198,51.0,10.6,46.4,9.7,9.0,8.3,5734,429,94.2,2.8,93.0,2.8,0.7,0.8,372,143,62.1,22.8,55.9,22.2,10.0,15.3,5391,422,92.3,3.2,91.0,3.3,0.9,0.9,71,58,78.9,33.5,78.9,33.5,0.0,41.1,267,102,76.4,17.1,76.4,17.1,0.0,15.7,506,131,82.0,12.7,82.0,12.7,0.0,8.1,4547,405,94.6,2.6,93.1,2.8,1.1,1.1
8600000US02114,02114,ZCTA5 02114,12367,592,72.8,2.9,69.8,3.2,3.9,1.6,317,144,16.7,13.6,10.4,11.9,37.7,43.6,1218,216,71.3,7.6,65.6,7.7,7.9,5.2,3308,415,90.7,4.0,87.4,4.8,3.1,3.0,2077,301,91.0,3.9,90.5,4.0,0.6,0.7,1589,233,86.1,5.6,84.6,5.9,1.7,1.7,1058,219,69.6,13.0,60.5,13.0,13.0,10.1,485,142,68.7,13.0,63.5,15.1,7.5,10.3,689,146,43.7,11.9,42.8,11.9,2.0,3.5,869,201,45.8,9.0,44.8,9.0,2.3,3.5,757,149,7.4,5.5,7.4,5.5,0.0,41.1,9876,638,76.5,3.5,73.9,3.5,3.2,1.4,596,166,39.4,13.8,35.4,14.5,10.2,12.8,7,13,0.0,100.0,0.0,100.0,-,**,1298,268,73.6,8.8,72.0,9.2,2.2,2.5,0,19,-,**,-,**,-,**,384,232,29.4,12.2,12.2,13.6,58.4,47.0,206,74,72.8,21.4,72.8,21.4,0.0,20.6,1277,369,67.1,11.4,58.7,15.5,12.6,11.2,9080,609,75.9,3.6,73.4,3.7,3.1,1.5,10424,596,81.5,2.5,78.3,3.0,3.8,1.6,5333,463,80.5,3.8,78.0,4.0,2.8,1.9,5091,400,82.6,3.4,78.6,4.3,4.9,2.5,577,154,67.1,14.4,65.7,14.2,2.1,3.3,291,114,75.9,14.9,75.9,14.9,0.0,14.6,64,46,79.7,37.7,79.7,37.7,0.0,43.1,222,105,51.8,23.7,48.2,22.8,7.0,11.4,1266,316,46.5,8.2,35.2,10.5,24.3,15.8,8578,649,92.2,2.0,89.9,2.4,2.3,1.2,458,164,43.4,15.7,39.1,16.1,10.1,11.0,9206,633,82.9,2.7,79.9,3.4,3.3,1.7,338,132,14.8,13.4,12.4,12.9,16.0,27.7,532,134,36.3,13.0,25.0,13.6,24.4,24.3,637,196,55.9,10.7,43.5,15.4,22.2,21.3,7699,573,91.3,2.3,89.7,2.4,1.8,1.2
8600000US02115,02115,ZCTA5 02115,27941,1121,57.3,1.8,50.2,1.7,12.4,1.7,7873,635,45.7,3.8,33.6,3.3,26.6,4.8,8497,611,60.3,3.1,51.9,3.1,14.0,2.9,3124,433,70.0,5.3,68.0,5.6,2.8,2.5,1528,252,86.0,4.9,83.0,5.2,3.5,2.2,1603,260,92.7,2.7,85.9,4.5,7.3,3.9,1666,311,72.3,7.4,69.4,7.7,4.0,2.9,688,169,65.3,10.6,62.5,10.7,4.2,5.8,661,174,61.0,13.4,58.1,13.8,4.7,5.5,963,158,20.9,6.7,20.1,6.6,3.5,4.4,1338,238,4.0,3.5,4.0,3.5,0.0,42.3,19113,983,59.7,2.4,52.6,2.4,11.9,1.9,2075,357,62.3,8.4,50.9,9.4,18.3,8.4,49,45,12.2,23.6,12.2,23.6,0.0,100.0,4487,348,48.1,4.5,41.7,4.5,13.2,4.0,32,36,43.8,56.2,43.8,56.2,0.0,82.3,1385,316,51.6,8.6,48.8,8.2,5.5,5.4,800,171,52.4,12.7,44.1,10.9,15.8,10.1,3553,425,57.5,5.4,50.8,5.4,11.6,5.0,17392,977,59.9,2.4,52.9,2.5,11.8,2.1,17767,816,68.5,2.0,62.8,2.2,8.4,1.5,8994,629,66.9,3.2,59.8,3.2,10.7,2.1,8773,464,70.1,2.7,65.8,2.9,6.1,1.8,814,140,74.2,11.8,72.0,12.2,3.0,3.0,201,88,80.6,17.1,80.6,17.1,0.0,19.3,144,86,24.3,23.1,24.3,23.1,0.0,52.0,469,135,86.8,10.4,82.9,11.4,4.4,4.5,4148,516,44.6,5.5,38.0,5.4,14.9,4.9,8327,531,86.2,1.8,83.6,2.3,2.9,1.2,893,185,43.8,12.0,37.1,12.3,15.3,10.8,9270,619,76.0,2.4,72.7,2.7,4.3,1.5,762,224,64.7,11.7,62.5,12.0,3.4,4.1,1138,236,56.4,10.5,52.9,10.3,6.2,5.8,1072,217,65.4,9.4,58.9,9.8,10.0,6.9,6298,506,82.7,3.4,79.9,3.5,3.4,1.3
8600000US02116,02116,ZCTA5 02116,21757,825,69.8,2.0,66.4,2.3,4.9,1.1,2071,316,47.2,6.3,35.4,7.1,24.9,8.6,1772,290,71.7,6.3,66.4,6.8,7.1,4.7,3633,440,88.4,3.3,85.5,3.8,3.3,2.0,2813,357,89.9,4.7,89.3,4.8,0.7,0.9,2381,362,89.0,4.1,87.2,4.1,2.0,1.7,2284,322,87.1,3.3,83.2,4.1,4.5,3.0,1610,255,71.9,6.7,64.8,6.6,9.8,4.7,1488,242,61.2,7.8,60.0,7.8,2.0,2.2,2297,333,34.6,7.3,33.6,7.2,2.9,3.4,1408,256,16.8,7.3,16.8,7.3,0.0,13.8,16660,776,73.4,2.0,69.8,2.4,4.9,1.3,1199,246,71.2,9.7,63.3,9.9,11.1,6.2,42,35,52.4,47.4,52.4,47.4,0.0,65.6,3107,369,49.9,6.6,48.5,6.5,2.8,1.6,0,23,-,**,-,**,-,**,258,106,68.6,21.6,68.6,21.6,0.0,17.8,491,225,73.9,12.3,71.3,11.5,3.6,5.6,1325,272,71.2,9.0,66.4,8.9,6.7,4.4,15571,726,73.4,2.0,69.9,2.4,4.6,1.3,15981,769,82.5,1.7,79.5,1.9,3.6,0.9,7384,467,88.2,2.1,85.1,2.5,3.4,1.2,8597,585,77.7,3.0,74.7,3.2,3.8,1.5,956,178,62.7,11.0,62.7,11.0,0.0,5.7,367,135,64.0,21.2,64.0,21.2,0.0,13.8,161,93,91.9,14.9,91.9,14.9,0.0,20.9,428,123,50.5,14.5,50.5,14.5,0.0,14.9,1560,257,42.8,8.0,36.0,8.1,15.9,8.6,13662,744,88.4,1.7,86.0,1.9,2.7,0.8,677,168,51.3,12.6,45.8,13.5,10.7,8.2,14209,755,83.9,1.8,81.1,2.0,3.3,0.9,547,171,49.7,15.8,47.9,15.9,3.7,5.4,995,239,67.6,11.9,60.0,12.0,11.3,6.9,1223,249,85.5,6.7,75.9,8.3,11.3,6.4,11444,715,86.8,1.7,85.1,1.9,1.9,0.8
