zip5,neighborhood
2108,Boston Common
2109,Faneuil Hall
2110,Harbor
2111,Chinatown
2113,North End
2114,West End
2115,Longwood
2116,Back Bay
2118,South End
2119,Roxbury
2120,Mission Hill
2121,West Dorchester
2122,East Dorchester
2124,South Dorchester
2125,North Dorchester
2126,Mattapan
2127,South Boston
2128,East Boston
2129,Charlestown
2130,Jamaica Plain
2131,Roslindale
2132,West Roxbury
2134,Allston
2135,Brighton
2136,Hyde Park
2163,HBS
2199,Prudential
2210,Seaport
2215,Fenway
2467,Chestnut Hill
